V2,V7,V8,V9,V10,gid,project,psid,PID,K2,wave,gc,term,lang,hilow,incent,Q_Language,cguess,Q_TotalDuration,med,Q19_1,D1,D2,D3,Q1,Q2,Q8,Q5,Q6,Q7,Q9,Quiz.1.Correct,Quiz.2.Correct,Quiz.3.Correct,Quiz.4.Correct,Quiz.5.Correct,Quiz.6.Correct,Q10_1,Q12,Q18_1,Q13,Q14,Q15#1_1,Q15#1_2,Q15#1_3,Q15#1_4,Q15#1_5,Q15#1_6,Q15#1_7,Q15#1_8,Q15#1_9,Q15#1_10,Q15#1_11,Q15#1_12,Q15#1_13,Q15#1_14,Q15#1_15,Q16,Q22,Q23,Q24,Q27,Q29,Q28,Q31,Q29,Q30,Q32_1,Q32_2,Q32_3,Q32_4,DO-BR-FL_180,DO-BR-FL_169,DO-BR-FL_183,DO-BR-FL_23,DO-BR-FL_186,DO-BR-FL_31,DO-BR-FL_189,DO-BR-FL_47,DO-BR-FL_192,DO-BR-FL_43,DO-BR-FL_195,DO-BR-FL_39,DO-BR-FL_198,DO-BR-FL_35,DO-BR-FL_19,DO-BR-FL_8,DO-BR-FL_263,DO-BR-FL_254,DO-BR-FL_236,DO-BR-FL_227,DO-BR-FL_160,DO-BR-FL_150,DO-BR-FL_130,DO-BR-FL_120,DO-BR-FL_100,DO-BR-FL_89,DO-Q-Q15,LocationAccuracy
Default Response Set,0,07/08/2015 16:14,07/08/2015 16:21,1,UK200054,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,no,EN,United Kingdom of Great Britain and Northern Ireland,437,{Invalid Expression},1,2,5,183,1,beethoven,stefani,dave grohl,1862,3,gary indiana,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,50,,english,3,2,2,2500,4,4,2,2,2,2,2,,,,,FL_187,Coin flip|Quiz,,,,,,,,,FL_21,FL_9,,,,,,,,,,,4|13|14|10|15|6|5|8|3|1|2|9|11|7|12,-1
Default Response Set,0,07/08/2015 16:06,07/08/2015 16:21,1,UK200039,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,yes,EN,Denmark,915,{Invalid Expression},1,2,6,183,1,wagner,stefany,dave grohl,1820,3,gary indiana,0,1,1,0,1,1,1,1,1,1,2,1,4,4,1,3,1,1,1,1,1,4,1,1,5,2,85,1,,2,4,5,£1500,2,5,1,2,2,2,2,,,,,FL_187,Quiz|Coin flip,,,,,,,,,FL_20,FL_14,,,,,,,,,,,8|2|3|14|5|11|6|12|15|7|13|4|10|1|9,-1
Default Response Set,0,07/08/2015 16:15,07/08/2015 16:21,1,PT200059,Qual12-1114CountriesUKUS,,,,2,1,,PT,3,yes,PT,República da Coreia,378,{Expressão inválida},1,1,4,137,1,Tim,Ana Cristina,Jim Black,1955,3,Boston,0,0,0,0,1,0,1,1,1,1,2,4,4,1,1,4,3,1,2,4,4,4,4,4,4,4,85,1,POrtugues,3,2,2,100,4,7,2,2,2,2,2,,,,,,,FL_191,Coin flip|Quiz,,,,,,,FL_20,,,,FL_238,,,,,,,,2|10|9|7|4|14|13|8|1|11|15|6|3|12|5,-1
Default Response Set,0,07/08/2015 16:12,07/08/2015 16:21,1,PT200055,Qual12-1114CountriesUKUS,,,,2,1,,PT,5,yes,PT,Índia,567,{Expressão inválida},1,2,5,137,1,Beethoven,Stefani Joanne Germanota,Kurt Cobain,,,,1,1,0,0,0,0,1,1,1,1,1,3,3,3,1,3,2,3,4,4,4,3,3,4,3,4,50,1,Portuguesa,1,1,1,"10000,00",1,7,2,2,2,2,2,,,,,,,FL_190,Quiz|Coin flip,,,,,,,FL_20,,,,FL_237,,,,,,,,9|4|1|10|8|13|2|15|14|11|6|7|3|12|5,-1
Default Response Set,0,07/08/2015 16:16,07/08/2015 16:21,1,IN200024,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,yes,EN,Denmark,311,{Invalid Expression},1,1,2,78,1,Ludwig van Beethoven,Stefani Joanne Angelina Germanotta,Dave Grohl,1862,three,"Gary, Indiana",1,1,1,1,1,1,1,1,1,1,1,3,3,2,4,3,2,3,3,4,3,2,2,4,2,2,65,1,indian,2,2,3,50000,2,7,2,2,1,1,2,FL_181,Coin flip|Quiz,,,,,,,,,,,,,FL_20,FL_14,,,,,,,,,,,12|5|6|10|14|1|11|13|15|4|9|2|7|3|8,-1
Default Response Set,0,07/08/2015 15:50,07/08/2015 16:22,1,AR200077,Qual12-1114CountriesUKUS,,,,2,1,,ES,5,no,ES,Argentina,1897,{Expresión no válida},1,2,4,7,1,,,,,,,0,0,0,0,0,0,1,1,1,1,1,3,3,2,2,2,2,1,2,2,3,3,1,4,2,3,50,,argentina,3,1,1,6000,3,7,2,2,2,2,2,,,,,,,,,FL_193,Quiz|Coin flip,,,,,FL_21,,,FL_259,,,,,,,,,10|15|8|5|6|12|1|13|7|14|4|3|9|11|2,-1
Default Response Set,0,07/08/2015 16:15,07/08/2015 16:22,1,UK200043,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,no,EN,Argentina,421,{Invalid Expression},1,2,6,183,1,,,,,8,,0,0,0,0,0,0,1,1,1,1,2,4,4,4,2,3,4,4,3,4,4,3,4,4,2,4,80,,British,3,2,5,,3,4,1,2,2,2,2,,,,,FL_187,Coin flip|Quiz,,,,,,,,,FL_21,FL_13,,,,,,,,,,,14|12|3|9|7|15|10|5|2|11|1|6|8|4|13,-1
Default Response Set,0,07/08/2015 16:15,07/08/2015 16:22,1,DK200060,Qual12-1114CountriesUKUS,,,,2,1,,DA,3,no,DA,Argentina,427,{Invalid Expression},1,1,5,48,1,wagner,,,,4,,0,0,0,0,0,0,1,1,1,1,2,3,3,1,1,2,4,2,3,3,3,3,3,4,2,3,60,,dansk,3,1,1,0,4,7,1,2,2,2,2,,,,,,,,,,,FL_197,Quiz|Coin flip,,,FL_21,,FL_268,,,,,,,,,,10|8|15|13|11|14|7|9|1|5|2|4|12|6|3,-1
Default Response Set,0,07/08/2015 16:22,07/08/2015 16:22,1,UK200058,Qual12-1114CountriesUKUS,,,,2,2,NoConsent,,,,EN,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Default Response Set,0,07/08/2015 16:23,07/08/2015 16:23,1,PT200074,Qual12-1114CountriesUKUS,,,,2,2,NoConsent,,,,PT,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Default Response Set,0,07/08/2015 16:12,07/08/2015 16:24,1,PT200056,Qual12-1114CountriesUKUS,,,,2,1,,PT,3,yes,PT,Dinamarca,700,{Expressão inválida},1,1,5,137,1,Beethoven,Stefani Joanne Angelina Germanotta,Dave grol,1862,Nao sei,gary,1,1,0,1,0,1,1,1,1,1,1,4,4,3,4,4,3,2,4,4,4,4,4,4,4,4,40,1,Portuguesa,3,4,2,noa sei,3,6,2,2,2,2,2,,,,,,,FL_191,Quiz|Coin flip,,,,,,,FL_20,,,,FL_242,,,,,,,,9|12|6|13|3|2|14|10|11|7|8|5|4|15|1,-1
Default Response Set,0,07/08/2015 16:02,07/08/2015 16:24,1,IN200029,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,yes,EN,Republic of Korea,1347,{Invalid Expression},1,2,2,78,1,Beethoven,Stefani,Dave grohl,1862,3,"Los Angeles,  California ",1,1,1,1,1,0,1,1,1,1,1,3,3,4,2,3,4,4,2,4,4,4,4,4,3,3,76,1,Indian,2,1,1,5990,2,8,2,2,1,1,1,FL_181,Coin flip|Quiz,,,,,,,,,,,,,FL_20,FL_11,,,,,,,,,,,6|3|8|4|2|1|5|9|13|11|10|15|7|14|12,-1
Default Response Set,0,07/08/2015 16:22,07/08/2015 16:24,1,KR200058,Qual12-1114CountriesUKUS,,,,2,1,,KO,3,yes,KO,덴마크,157,{유효하지 않은 수식},1,2,2,139,1,베토벤,스테파니,데이브 그롤,1862,3,인디애나,1,1,1,1,1,0,1,1,1,1,1,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,50,1,대한민국,3,1,1,300000,4,8,1,2,2,2,2,,,FL_185,Coin flip|Quiz,,,,,,,,,,,FL_20,,,,,FL_233,,,,,,,9|4|2|6|11|14|5|1|8|12|10|13|15|7|3,-1
Default Response Set,0,07/08/2015 16:12,07/08/2015 16:24,1,IN200017,Qual12-1114CountriesUKUS,,,,2,1,,EN,3,yes,EN,Portugal,743,{Invalid Expression},1,1,2,78,1,Ludwig van Beethoven,Radio Ga-Ga,Aaron Burckhard,8/22/1862,six (6),"Gary,indiana",1,0,1,1,0,1,1,1,1,1,1,5,4,5,4,4,4,4,4,4,4,4,4,4,3,3,,1,indian,2,1,1,5000,2,8,1,2,1,1,2,FL_182,Quiz|Coin flip,,,,,,,,,,,,,FL_20,FL_12,,,,,,,,,,,13|14|2|3|1|11|10|4|5|15|9|6|7|12|8,-1
Default Response Set,0,07/08/2015 16:19,07/08/2015 16:25,1,DK200063,Qual12-1114CountriesUKUS,,,,2,1,,DA,5,yes,DA,Danmark,369,{Invalid Expression},1,2,4,48,1,Mozart,?,?,?,5,?,0,0,0,0,0,0,1,1,1,1,2,4,4,3,2,2,3,4,4,3,4,3,4,4,2,2,30,1,Dansk,2,4,3,10.2,3,1,1,2,2,2,2,,,,,,,,,,,FL_196,Quiz|Coin flip,,,FL_20,,FL_269,,,,,,,,,,14|7|12|11|5|4|13|15|3|1|8|2|6|10|9,-1
Default Response Set,0,07/08/2015 16:03,07/08/2015 16:26,1,PT200036,Qual12-1114CountriesUKUS,,,,2,1,,PT,5,yes,PT,Dinamarca,1346,{Expressão inválida},1,2,3,137,1,beethoven,Stefanie joanne Angelina Germanotta,Dave grohl,1862,3,"Gary, Indiana",1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,4,1,2,4,3,3,3,4,2,2,100,1,Portuguesa,3,1,2,800,3,3,2,2,2,1,2,,,,,,,FL_190,Coin flip|Quiz,,,,,,,FL_20,,,,FL_242,,,,,,,,2|9|10|1|15|4|7|14|6|13|11|8|5|12|3,-1
Default Response Set,0,07/08/2015 16:20,07/08/2015 16:26,1,DK200064,Qual12-1114CountriesUKUS,,,,2,1,,DA,5,no,EN,Denmark,350,{Invalid Expression},1,1,4,48,1,Bethoven,do not know,do not know,do not know,4,do not know,1,0,0,0,0,0,1,1,1,1,2,4,4,2,2,3,3,4,4,4,3,3,3,4,2,4,50,,danish,3,1,1,1500 euro,4,8,1,2,2,1,1,,,,,,,,,,,FL_196,Coin flip|Quiz,,,FL_21,FL_14,,,,,,,,,,,3|11|9|4|15|6|12|14|5|8|13|7|10|1|2,-1
Default Response Set,0,07/08/2015 16:16,07/08/2015 16:26,1,PT200060,Qual12-1114CountriesUKUS,,,,2,1,,PT,5,yes,PT,Portugal,605,{Expressão inválida},1,1,3,137,1,Fur elise,Stefani Germanotta,Dave  Grohl,1862,25,Indiana,0,1,1,1,0,0,1,1,1,1,1,4,3,4,1,4,4,4,4,4,1,4,4,4,2,2,80,1,Portugal,2,2,2,3100,3,7,2,2,2,2,2,,,,,,,FL_190,Coin flip|Quiz,,,,,,,FL_20,,,,FL_240,,,,,,,,2|10|1|7|6|3|9|15|14|4|13|5|12|11|8,-1
Default Response Set,0,07/08/2015 16:19,07/08/2015 16:26,1,PT200066,Qual12-1114CountriesUKUS,,,,2,1,,PT,3,no,PT,Reino Unido da Grã-Bretanha e Irlanda do Norte,412,{Expressão inválida},1,1,4,137,1,Não sei,Não sei,Não sei,Não sei,Não faço ideia.,Não sei.,0,0,0,0,0,0,1,1,1,1,2,3,4,3,1,2,3,2,4,4,3,3,3,3,1,1,90,,Portuguesa,3,1,1,1000,4,4,2,2,2,1,2,,,,,,,FL_191,Coin flip|Quiz,,,,,,,FL_21,,,,FL_239,,,,,,,,9|5|11|12|4|3|13|7|2|6|1|15|14|8|10,-1
Default Response Set,0,07/08/2015 16:17,07/08/2015 16:26,1,UK200056,Qual12-1114CountriesUKUS,,,,2,1,,EN,3,no,EN,Republic of Korea,565,{Invalid Expression},1,1,6,183,1,Richard Strauss,No idea,Dave Grohl,1862,8,"Gary, Indiana",0,0,1,1,0,1,1,1,1,1,1,2,4,1,2,1,2,2,3,4,4,3,4,2,2,3,100,,UK,3,3,1,"£5,000",4,7,2,2,2,2,1,,,,,FL_188,Coin flip|Quiz,,,,,,,,,FL_21,FL_11,,,,,,,,,,,2|9|10|11|14|8|15|12|4|13|6|1|5|7|3,-1
Default Response Set,0,07/08/2015 16:10,07/08/2015 16:27,1,AR200092,Qual12-1114CountriesUKUS,,,,2,1,,ES,3,no,ES,Dinamarca,1014,{Expresión no válida},1,1,4,7,1,bethovenn,angelina,aaron,22 de agosto de 1862,4,gary indiana,1,1,1,1,0,1,1,1,1,1,1,4,4,2,2,4,4,2,4,4,4,3,4,4,4,4,70,,argentina,1,2,3,20000,1,7,2,2,2,2,2,,,,,,,,,FL_194,Coin flip|Quiz,,,,,FL_21,,,FL_260,,,,,,,,,3|8|14|6|5|15|7|10|1|13|4|11|2|9|12,-1
Default Response Set,0,07/08/2015 16:12,07/08/2015 16:27,1,IN200038,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,no,EN,South Africa,920,{Invalid Expression},1,1,2,78,1,BEETHOVEN,Stefani Joanne Angelina Germanotta,DAVE FOSTER,1862,3,"GARY , INDIANA",1,1,0,1,1,0,1,1,1,1,2,4,4,,3,1,4,3,1,4,4,1,4,2,1,1,100,,INDIAN,1,1,1,2-5 LAKHS,1,8,1,2,2,2,2,FL_181,Quiz|Coin flip,,,,,,,,,,,,,FL_21,FL_15,,,,,,,,,,,13|15|14|8|11|9|3|5|12|6|2|10|4|1|7,-1
Default Response Set,0,07/08/2015 16:18,07/08/2015 16:27,1,PT200064,Qual12-1114CountriesUKUS,,,,2,1,,PT,3,no,PT,Índia,533,{Expressão inválida},1,2,2,137,1,Beethoven,Stefani Joanne Angelina Germanotta,Dave Grohl,1862,3,Gary,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,3,50,,Portuguesa,1,1,1,500,1,8,2,2,2,1,2,,,,,,,FL_191,Quiz|Coin flip,,,,,,,FL_21,,,,FL_237,,,,,,,,12|11|1|3|6|5|15|8|2|4|13|10|7|9|14,-1
Default Response Set,0,07/08/2015 16:12,07/08/2015 16:27,1,PT200016,Qual12-1114CountriesUKUS,,,,2,1,,PT,5,no,PT,Argentina,879,{Expressão inválida},1,2,4,137,1,Ludwig van Beethoven,Stefani Joanne Angelina Germanotta,David Eric Grohl,22 de Agosto de 1862,Três válvulas,"Nasceu em Agosto/1958 em Gary, Indiana.",1,1,1,1,1,1,1,1,1,1,2,4,4,3,2,3,4,2,4,4,4,4,4,4,4,3,10,,Portuguesa,3,1,1,505€,3,5,2,2,2,2,2,,,,,,,FL_190,Quiz|Coin flip,,,,,,,FL_21,,,,FL_241,,,,,,,,3|10|1|4|2|9|6|7|13|14|8|5|12|11|15,-1
Default Response Set,0,07/08/2015 16:16,07/08/2015 16:27,1,ZA200019,Qual12-1114CountriesUKUS,,,,2,1,,EN,3,yes,EN,South Africa,662,{Invalid Expression},1,1,5,160,1,richard clayderman,,,,,,0,0,0,0,0,0,1,1,1,1,1,5,4,1,2,4,4,4,4,4,4,4,4,4,4,4,75,1,south african,2,4,4,,2,7,2,2,2,2,2,,,,,,,,,,,,,FL_200,Coin flip|Quiz,FL_20,FL_15,,,,,,,,,,,1|10|13|15|5|2|9|3|4|11|8|14|7|12|6,-1
Default Response Set,0,07/08/2015 16:20,07/08/2015 16:27,1,DK200062,Qual12-1114CountriesUKUS,,,,2,1,,DA,3,yes,DA,Portugal,457,{Invalid Expression},1,1,4,48,1,,,,,,,0,0,0,0,0,0,1,1,1,1,1,3,4,3,2,3,4,4,4,3,3,3,3,4,2,2,80,1,Danmark,,,3,17000,3,6,1,,,,,,,,,,,,,,,FL_197,Coin flip|Quiz,,,FL_20,,FL_267,,,,,,,,,,10|4|8|5|13|6|11|12|3|2|9|1|14|15|7,-1
Default Response Set,0,07/08/2015 16:16,07/08/2015 16:27,1,PT200057,Qual12-1114CountriesUKUS,,,,2,1,,PT,3,yes,PT,Argentina,663,{Expressão inválida},1,2,5,137,1,ludwig van beethoven,stefani joanne angelina germanotta,dave grohl,1862,3,"Gary, indiana",1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,2,3,1,4,4,4,4,4,4,2,2,100,1,portuguesa,2,2,3,,3,1,2,2,1,1,2,,,,,,,FL_191,Coin flip|Quiz,,,,,,,FL_20,,,,FL_241,,,,,,,,4|13|12|2|6|3|11|5|10|14|1|15|8|9|7,-1
Default Response Set,0,07/08/2015 16:20,07/08/2015 16:28,1,PT200070,Qual12-1114CountriesUKUS,,,,2,1,,PT,3,no,PT,África Do Sul,462,{Expressão inválida},1,2,5,137,1,Tom Jobin,Elisabeth,Neil,1830,3,New york - New York,0,0,0,0,1,0,1,1,1,1,1,3,4,2,2,3,5,4,3,3,4,3,3,4,2,3,50,,Portuguesa,2,1,3,1300,4,7,1,1,2,2,2,,,,,,,FL_191,Quiz|Coin flip,,,,,,,FL_21,,,,FL_243,,,,,,,,14|1|13|5|3|9|15|6|7|2|4|12|8|10|11,-1
Default Response Set,0,07/08/2015 16:20,07/08/2015 16:28,1,AR200095,Qual12-1114CountriesUKUS,,,,2,1,,ES,3,yes,ES,India,460,{Expresión no válida},1,2,5,7,1,beethoven,steafi joanne angelina germanotta,aaron backhard,1862,3,indiana,1,1,0,1,1,0,1,1,1,1,1,4,4,3,3,3,2,2,3,4,4,4,4,3,3,3,60,1,argentina,3,4,3,30000,3,7,2,2,2,2,2,,,,,,,,,FL_194,Coin flip|Quiz,,,,,FL_20,,,FL_255,,,,,,,,,9|13|2|3|10|8|7|12|14|4|11|5|15|1|6,-1
Default Response Set,0,07/08/2015 16:10,07/08/2015 16:28,1,UK200048,Qual12-1114CountriesUKUS,,,,2,1,,EN,3,yes,EN,Argentina,1108,{Invalid Expression},1,2,2,183,1,Ludwig van Beethoven's,Stefani Joanne Angelina Germanotta,Dave Grohl,8/22/1862,Three,"Gary, Indiana ",1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,2,2,2,2,2,2,5,2,2,2,5,9,1,Indian,1,2,1,30000,1,7,1,1,1,1,1,,,,,FL_188,Quiz|Coin flip,,,,,,,,,FL_20,FL_13,,,,,,,,,,,12|14|9|3|8|1|10|2|5|6|7|13|4|11|15,-1
Default Response Set,0,07/08/2015 16:16,07/08/2015 16:28,1,PT200061,Qual12-1114CountriesUKUS,,,,2,1,,PT,3,no,PT,Portugal,709,{Expressão inválida},1,2,2,137,1,Beethoven,Stefani Joanne Angelina Germanotta,Dave Grohl,22 de Agosto de 1862,7,New york,1,1,1,1,0,0,1,1,1,1,2,4,4,4,2,3,4,2,4,4,4,4,4,4,3,3,85,,Portuguesa,2,1,1,650,2,7,2,2,2,1,2,,,,,,,FL_191,Quiz|Coin flip,,,,,,,FL_21,,,,FL_240,,,,,,,,4|1|3|12|8|13|7|10|6|9|14|5|15|2|11,-1
Default Response Set,0,07/08/2015 16:10,07/08/2015 16:28,1,PT200051,Qual12-1114CountriesUKUS,,,,2,1,,PT,5,no,PT,Reino Unido da Grã-Bretanha e Irlanda do Norte,1118,{Expressão inválida},1,2,3,137,1,Não sei.,Stefani Joanne,Dave Grohl,Não sei.,53,Los Angeles,0,1,1,0,0,0,1,1,1,1,1,3,3,3,1,3,4,1,4,4,4,3,3,4,3,2,85,,Portuguesa,3,1,2,Não digo.,4,4,2,2,2,1,2,,,,,,,FL_190,Coin flip|Quiz,,,,,,,FL_21,,,,FL_239,,,,,,,,3|1|9|8|13|10|15|14|12|4|7|6|2|11|5,-1
Default Response Set,0,07/08/2015 16:28,07/08/2015 16:28,1,ZA200030,Qual12-1114CountriesUKUS,,,,2,2,NoConsent,,,,EN,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Default Response Set,0,07/08/2015 16:20,07/08/2015 16:29,1,PT200067,Qual12-1114CountriesUKUS,,,,2,1,,PT,3,yes,PT,África Do Sul,560,{Expressão inválida},1,1,6,137,1,betowven,,,,2,,1,0,0,0,0,0,1,1,1,1,1,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,65,1,PORTUGUESA,2,2,2,3000,3,7,1,2,2,2,2,,,,,,,FL_191,Coin flip|Quiz,,,,,,,FL_20,,,,FL_243,,,,,,,,5|11|2|3|13|10|1|7|9|4|6|14|12|15|8,-1
Default Response Set,0,07/08/2015 16:26,07/08/2015 16:29,1,UK200062,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,yes,EN,India,215,{Invalid Expression},1,1,6,183,1,,,,,,,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,1,BRITISH,3,2,3,1100,3,2,1,2,2,2,2,,,,,FL_187,Quiz|Coin flip,,,,,,,,,FL_20,FL_10,,,,,,,,,,,15|6|9|2|5|13|12|11|3|8|4|14|7|10|1,-1
Default Response Set,0,07/08/2015 16:25,07/08/2015 16:29,1,UK200061,Qual12-1114CountriesUKUS,,,,2,1,,EN,3,no,EN,South Africa,232,{Invalid Expression},1,2,6,183,1,,,,,4,,0,0,0,0,0,0,1,1,1,1,2,2,4,4,4,4,4,3,4,4,4,4,4,4,3,4,75,,UK,3,2,5,,4,3,2,2,2,2,2,,,,,FL_188,Coin flip|Quiz,,,,,,,,,FL_21,FL_15,,,,,,,,,,,13|7|14|11|4|15|12|9|1|5|2|6|10|8|3,-1
Default Response Set,0,07/08/2015 16:10,07/08/2015 16:30,1,KR200052,Qual12-1114CountriesUKUS,,,,2,1,,KO,5,yes,KO,덴마크,1207,{유효하지 않은 수식},1,2,5,139,1,베토벤,Stefani Joanne angelina germanotta,데이비드 그롤,1862,3,인디애나 게리,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,3,3,4,3,4,4,4,3,3,3,4,90,1,대한민국,3,2,3,"2,800,000",4,6,2,2,2,2,2,,,FL_184,Quiz|Coin flip,,,,,,,,,,,FL_20,,,,,FL_233,,,,,,,11|1|3|9|13|14|7|15|2|6|12|10|8|5|4,-1
Default Response Set,0,07/08/2015 16:20,07/08/2015 16:30,1,KR200059,Qual12-1114CountriesUKUS,,,,2,1,,KO,5,no,KO,포르투갈,580,{유효하지 않은 수식},1,1,4,139,1,베토벤,,,,,로스앤젤레스,1,0,0,0,0,0,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,,대한민국,1,1,1,120만원 이하,1,7,2,2,2,2,2,,,FL_184,Quiz|Coin flip,,,,,,,,,,,FL_21,,,,,FL_231,,,,,,,1|9|8|3|12|2|5|11|15|4|7|10|13|14|6,-1
Default Response Set,0,07/08/2015 16:30,07/08/2015 16:30,1,PT200077,Qual12-1114CountriesUKUS,,,,2,2,NoConsent,,,,PT,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Default Response Set,0,07/08/2015 16:18,07/08/2015 16:30,1,PT200065,Qual12-1114CountriesUKUS,,,,2,1,,PT,5,no,PT,República da Coreia,712,{Expressão inválida},1,1,5,137,1,Betthoven,Stefani Joanne Angelina Germanotta,Dave Grohl,1862,3,"Los Angeles, California",1,1,1,1,1,0,1,1,1,1,1,4,4,3,3,4,2,2,4,4,4,4,4,4,2,4,50,,Portuguesa,2,2,4,"€2,600",3,7,2,2,2,2,2,,,,,,,FL_190,Quiz|Coin flip,,,,,,,FL_21,,,,FL_238,,,,,,,,5|12|1|9|2|7|3|6|11|10|14|15|4|8|13,-1
Default Response Set,0,07/08/2015 16:18,07/08/2015 16:31,1,ZA200016,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,no,EN,Republic of Korea,785,{Invalid Expression},1,1,2,160,1,,,,,4,,0,0,0,0,0,0,1,1,1,1,2,,,,,,,,,,,,,,,,80,,South African,2,1,1,R0,1,7,2,2,2,1,2,,,,,,,,,,,,,FL_199,Quiz|Coin flip,FL_21,FL_11,,,,,,,,,,,3|13|14|10|4|11|15|5|8|6|1|2|9|7|12,-1
Default Response Set,0,07/08/2015 16:23,07/08/2015 16:31,1,KR200060,Qual12-1114CountriesUKUS,,,,2,1,,KO,5,no,KO,영국과 북 아일랜드의 영국,464,{유효하지 않은 수식},1,2,3,139,1,베토벤,Stefani Joanne Angelina Germanotta,데이브 그롤,1862,3개,인디애나주,1,1,1,1,1,0,1,1,1,1,2,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,70,,대한민국,2,1,1,5000000,2,7,2,2,2,2,2,,,FL_184,Quiz|Coin flip,,,,,,,,,,,FL_21,,,,,FL_230,,,,,,,15|4|12|11|8|7|9|6|3|1|14|5|13|2|10,-1
Default Response Set,0,07/08/2015 16:25,07/08/2015 16:32,1,ZA200028,Qual12-1114CountriesUKUS,,,,2,1,,EN,3,no,EN,United Kingdom of Great Britain and Northern Ireland,401,{Invalid Expression},1,2,3,160,1,beethoven,Stefani Joanne Angelina Germanotta,dave Grohl,1862,three," Gary, Indiana, United States",1,1,1,1,1,1,1,1,1,1,1,4,4,3,1,2,4,2,4,4,4,3,4,4,2,4,80,,South African,3,1,1,14890,2,7,2,2,2,1,2,,,,,,,,,,,,,FL_200,Quiz|Coin flip,FL_21,FL_9,,,,,,,,,,,6|7|12|15|3|10|1|11|8|14|5|13|2|9|4,-1
Default Response Set,0,07/08/2015 16:22,07/08/2015 16:32,1,ZA200024,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,yes,EN,United Kingdom of Great Britain and Northern Ireland,572,{Invalid Expression},1,2,3,160,1,,,,,8,,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,1,lesotho,2,1,2,9000,1,7,2,2,2,1,1,,,,,,,,,,,,,FL_199,Quiz|Coin flip,FL_20,FL_9,,,,,,,,,,,14|9|3|2|6|11|5|12|4|15|7|10|8|1|13,-1
Default Response Set,0,07/08/2015 16:15,07/08/2015 16:32,1,AR200093,Qual12-1114CountriesUKUS,,,,2,1,,ES,5,no,ES,Sudáfrica,1019,{Expresión no válida},1,2,5,7,1,Ludwing van Beethoven,Stefani joanne Angelina Germanptta,Dave grohl,1862,No se,Gary indiana,1,1,1,1,0,1,1,1,1,1,1,4,4,2,4,4,3,2,4,4,4,4,4,4,3,4,70,,Argentina,2,4,3,13000,1,5,2,2,2,1,2,,,,,,,,,FL_193,Quiz|Coin flip,,,,,FL_21,,,FL_261,,,,,,,,,3|13|11|7|5|12|15|8|1|9|10|14|4|6|2,-1
Default Response Set,0,07/08/2015 16:21,07/08/2015 16:32,1,PT200071,Qual12-1114CountriesUKUS,,,,2,1,,PT,3,yes,PT,Argentina,690,{Expressão inválida},1,2,4,137,1,Beethoven,Stefani Joanne Angelina Germanotta,Dave Grohl,1862,3,"Gary, Indiana",1,1,1,1,1,1,1,1,1,1,2,4,4,5,3,3,4,3,4,4,4,4,4,4,2,4,100,1,Portuguesa,2,2,2,500,2,1,2,2,2,2,2,,,,,,,FL_191,Coin flip|Quiz,,,,,,,FL_20,,,,FL_241,,,,,,,,2|13|15|9|6|5|11|8|1|4|7|3|10|12|14,-1
